class,layer,change_rate,type,rank
"goldfish, Carassius auratus",10,0.3176884349028114,critical,1
"goldfish, Carassius auratus",9,0.21940556700341407,critical,2
"goldfish, Carassius auratus",11,0.08320930026937279,critical,3
"goldfish, Carassius auratus",3,-0.00010049199554484685,least_critical,1
"goldfish, Carassius auratus",2,-7.475627935491199e-05,least_critical,2
"goldfish, Carassius auratus",4,7.90092079841768e-05,least_critical,3
"European fire salamander, Salamandra salamandra",9,0.4841949856677093,critical,1
"European fire salamander, Salamandra salamandra",10,0.1502587689852226,critical,2
"European fire salamander, Salamandra salamandra",8,0.09297317496500912,critical,3
"European fire salamander, Salamandra salamandra",3,-0.0007200918230228159,least_critical,1
"European fire salamander, Salamandra salamandra",1,-0.0001834607159253239,least_critical,2
"European fire salamander, Salamandra salamandra",2,0.0012860690557863598,least_critical,3
"bullfrog, Rana catesbeiana",9,0.45371717534760597,critical,1
"bullfrog, Rana catesbeiana",8,0.15745441127335658,critical,2
"bullfrog, Rana catesbeiana",10,0.0721944636384424,critical,3
"bullfrog, Rana catesbeiana",1,-0.01624188200570643,least_critical,1
"bullfrog, Rana catesbeiana",5,-0.007154259381350136,least_critical,2
"bullfrog, Rana catesbeiana",3,-0.005708752367645509,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.02271351418404508,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,0.020544802245584453,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,0.002131792905274774,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-0.0017788949818350352,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,-0.001321843073237695,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,-0.0008096818433841713,least_critical,3
"American alligator, Alligator mississipiensis",9,0.32718527974211614,critical,1
"American alligator, Alligator mississipiensis",10,0.13083706847857685,critical,2
"American alligator, Alligator mississipiensis",11,0.10845802030140478,critical,3
"American alligator, Alligator mississipiensis",5,-0.000652038108673878,least_critical,1
"American alligator, Alligator mississipiensis",2,-0.0005264778586570261,least_critical,2
"American alligator, Alligator mississipiensis",4,-0.00027658296865410597,least_critical,3
"boa constrictor, Constrictor constrictor",9,0.3652115921987207,critical,1
"boa constrictor, Constrictor constrictor",10,0.22569299116181352,critical,2
"boa constrictor, Constrictor constrictor",11,0.11446270283792737,critical,3
"boa constrictor, Constrictor constrictor",2,-0.0005776457983301962,least_critical,1
"boa constrictor, Constrictor constrictor",3,-0.0005521253528422681,least_critical,2
"boa constrictor, Constrictor constrictor",4,-7.930668027256594e-05,least_critical,3
trilobite,10,0.30193989083442374,critical,1
trilobite,9,0.29770098036939546,critical,2
trilobite,11,0.05260376433299263,critical,3
trilobite,2,-0.0025813604588620378,least_critical,1
trilobite,5,-0.00043090097256936197,least_critical,2
trilobite,3,0.000443183307070284,least_critical,3
scorpion,10,0.4090228133833216,critical,1
scorpion,9,0.11459331562245553,critical,2
scorpion,11,0.0649815968578924,critical,3
scorpion,2,-0.00015019047503296617,least_critical,1
scorpion,5,-8.561772490792464e-05,least_critical,2
scorpion,3,6.198092378325811e-06,least_critical,3
"black widow, Latrodectus mactans",9,0.26752159927476904,critical,1
"black widow, Latrodectus mactans",10,0.2609851674535241,critical,2
"black widow, Latrodectus mactans",11,0.10361544750589813,critical,3
"black widow, Latrodectus mactans",2,1.0515519188629697e-05,least_critical,1
"black widow, Latrodectus mactans",1,1.1699074225361984e-05,least_critical,2
"black widow, Latrodectus mactans",3,7.38662472212745e-05,least_critical,3
tarantula,10,0.2942274232560886,critical,1
tarantula,9,0.12515562511514872,critical,2
tarantula,11,0.07854665802122324,critical,3
tarantula,5,-0.00018081196118146408,least_critical,1
tarantula,2,-5.2328775345825986e-05,least_critical,2
tarantula,3,0.0001471729556215,least_critical,3
centipede,10,0.1379826165841223,critical,1
centipede,9,0.10879846461633862,critical,2
centipede,11,0.10326235280212137,critical,3
centipede,1,-7.42998987152364e-05,least_critical,1
centipede,2,-1.7327703426417434e-06,least_critical,2
centipede,3,6.004830083838897e-06,least_critical,3
goose,9,0.34111771051298556,critical,1
goose,10,0.2543120995306663,critical,2
goose,11,0.11431277026415576,critical,3
goose,3,-0.0003674895016592901,least_critical,1
goose,5,-4.123846767470205e-05,least_critical,2
goose,4,-1.635153050301186e-05,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,0.4467173174575737,critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,0.21990823018238645,critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,0.1048035121911357,critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,-4.9067377658497e-05,least_critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,1.3150878658052317e-07,least_critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",5,7.589862798314413e-07,least_critical,3
jellyfish,9,0.431309978838699,critical,1
jellyfish,11,0.20444374182488334,critical,2
jellyfish,8,0.030133500143419957,critical,3
jellyfish,2,1.1712719388011427e-05,least_critical,1
jellyfish,1,2.9388936062558016e-05,least_critical,2
jellyfish,4,5.826718836032078e-05,least_critical,3
brain coral,10,0.34605224752682257,critical,1
brain coral,9,0.32081611057630655,critical,2
brain coral,11,0.07379885934642516,critical,3
brain coral,2,7.345091034949197e-08,least_critical,1
brain coral,1,9.35546033360879e-06,least_critical,2
brain coral,3,2.4592938798377874e-05,least_critical,3
snail,10,0.23992473059705136,critical,1
snail,9,0.1029411527806974,critical,2
snail,11,0.09204320021706391,critical,3
snail,1,-1.0757093132269799e-05,least_critical,1
snail,3,-6.586380550288595e-06,least_critical,2
snail,5,1.7927958833752216e-06,least_critical,3
slug,9,0.2973482575637945,critical,1
slug,10,0.21932443804755625,critical,2
slug,8,0.0048761782938527174,critical,3
slug,5,-0.00014271714579081198,least_critical,1
slug,3,-8.139104378642432e-05,least_critical,2
slug,1,7.638586361278658e-05,least_critical,3
"sea slug, nudibranch",9,0.33477658885560235,critical,1
"sea slug, nudibranch",11,0.11539019484596791,critical,2
"sea slug, nudibranch",10,0.11050487066066128,critical,3
"sea slug, nudibranch",3,1.76997568632778e-05,least_critical,1
"sea slug, nudibranch",1,3.992531553649314e-05,least_critical,2
"sea slug, nudibranch",2,5.1090641936729285e-05,least_critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",9,0.24593539470008186,critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",10,0.17966489961263504,critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",11,0.11790240896651089,critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",2,-0.00033249960950337446,least_critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",3,-2.7898481148439877e-05,least_critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",5,1.5370021319537163e-05,least_critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",9,0.44824323364267915,critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",10,0.32733969526521833,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",11,0.010374775972795791,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,-0.0001088363731832576,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",3,-4.515223463385103e-05,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",5,-4.539049114104553e-06,least_critical,3
"black stork, Ciconia nigra",10,0.4211281291781052,critical,1
"black stork, Ciconia nigra",9,0.19433036065413037,critical,2
"black stork, Ciconia nigra",11,0.17366232838438,critical,3
"black stork, Ciconia nigra",5,-0.0003923627315089181,least_critical,1
"black stork, Ciconia nigra",1,-0.0002969921592739421,least_critical,2
"black stork, Ciconia nigra",2,-0.00017969033913685034,least_critical,3
